film_ref	community_id
(filmRef)20398	1
(filmRef)20399	1
(filmRef)20379	1
(filmRef)20371	1
(filmRef)20459	1
(filmRef)20467	1
(filmRef)20141	1
(filmRef)19986	1
(filmRef)18989	1
(filmRef)19045	1
(filmRef)19236	1
(filmRef)19231	1
(filmRef)18994	1
(filmRef)18988	1
(filmRef)18987	1
(filmRef)19988	1
(filmRef)19237	1
(filmRef)18992	1
(filmRef)16020	1
(filmRef)20070	1
(filmRef)20060	1
(filmRef)20068	1
(filmRef)20066	1
(filmRef)20483	1
(filmRef)20485	1
(filmRef)20486	1
(filmRef)20489	1
(filmRef)20490	1
(filmRef)20533	1
(filmRef)20464	1
(filmRef)20548	1
(filmRef)20627	1
(filmRef)20629	1
(filmRef)20634	1
(filmRef)18986	1
(filmRef)18993	1
(filmRef)19229	1
(filmRef)20584	1
(filmRef)20317	1
(filmRef)20313	1
(filmRef)20312	1
(filmRef)18719	1
(filmRef)17698	1
(filmRef)17328	1
(filmRef)17327	1
(filmRef)17322	1
(filmRef)17287	1
(filmRef)17282	1
(filmRef)17046	1
(filmRef)17044	1
(filmRef)17039	1
(filmRef)17037	1
(filmRef)17035	1
(filmRef)17034	1
(filmRef)17033	1
(filmRef)17032	1
(filmRef)17031	1
(filmRef)16983	1
(filmRef)16355	1
(filmRef)16356	1
(filmRef)16357	1
(filmRef)16358	1
(filmRef)16359	1
(filmRef)16360	1
(filmRef)18721	1
(filmRef)16361	1
(filmRef)16863	1
(filmRef)16866	1
(filmRef)16867	1
(filmRef)16869	1
(filmRef)16871	1
(filmRef)16981	1
(filmRef)16362	1
(filmRef)18723	1
(filmRef)18724	1
(filmRef)18725	1
(filmRef)20198	1
(filmRef)20292	1
(filmRef)20293	1
(filmRef)20294	1
(filmRef)20296	1
(filmRef)20299	1
(filmRef)20194	1
(filmRef)20300	1
(filmRef)20303	1
(filmRef)20305	1
(filmRef)20306	1
(filmRef)20309	1
(filmRef)20310	1
(filmRef)20311	1
(filmRef)20301	1
(filmRef)16351	1
(filmRef)20065	1
(filmRef)20062	1
(filmRef)18726	1
(filmRef)18981	1
(filmRef)18982	1
(filmRef)18983	1
(filmRef)18985	1
(filmRef)18991	1
(filmRef)20063	1
(filmRef)19230	1
(filmRef)19234	1
(filmRef)19235	1
(filmRef)19987	1
(filmRef)19989	1
(filmRef)19990	1
(filmRef)20061	1
(filmRef)19233	1
(filmRef)20140	1
(filmRef)14848	1
(filmRef)20069	1
(filmRef)15409	1
(filmRef)15367	1
(filmRef)15346	1
(filmRef)15345	1
(filmRef)15320	1
(filmRef)15319	1
(filmRef)15260	1
(filmRef)15259	1
(filmRef)15251	1
(filmRef)15232	1
(filmRef)15223	1
(filmRef)15155	1
(filmRef)15132	1
(filmRef)15130	1
(filmRef)15113	1
(filmRef)15112	1
(filmRef)15111	1
(filmRef)15006	1
(filmRef)15008	1
(filmRef)15032	1
(filmRef)15046	1
(filmRef)15052	1
(filmRef)15053	1
(filmRef)15429	1
(filmRef)15054	1
(filmRef)15060	1
(filmRef)15061	1
(filmRef)15093	1
(filmRef)15108	1
(filmRef)15109	1
(filmRef)15110	1
(filmRef)15055	1
(filmRef)14999	1
(filmRef)15430	1
(filmRef)15458	1
(filmRef)16009	1
(filmRef)15871	1
(filmRef)15869	1
(filmRef)15843	1
(filmRef)15842	1
(filmRef)15833	1
(filmRef)15806	1
(filmRef)15805	1
(filmRef)15804	1
(filmRef)15798	1
(filmRef)15796	1
(filmRef)15790	1
(filmRef)15767	1
(filmRef)15739	1
(filmRef)15687	1
(filmRef)15684	1
(filmRef)15680	1
(filmRef)15459	1
(filmRef)15553	1
(filmRef)15556	1
(filmRef)15573	1
(filmRef)15576	1
(filmRef)15585	1
(filmRef)15437	1
(filmRef)15586	1
(filmRef)15593	1
(filmRef)15594	1
(filmRef)15638	1
(filmRef)15639	1
(filmRef)15650	1
(filmRef)15661	1
(filmRef)15587	1
(filmRef)16012	1
(filmRef)14998	1
(filmRef)14943	1
(filmRef)14582	1
(filmRef)14569	1
(filmRef)14565	1
(filmRef)14557	1
(filmRef)14519	1
(filmRef)14512	1
(filmRef)14509	1
(filmRef)14508	1
(filmRef)14506	1
(filmRef)14444	1
(filmRef)14436	1
(filmRef)14429	1
(filmRef)14428	1
(filmRef)14427	1
(filmRef)14327	1
(filmRef)14326	1
(filmRef)14325	1
(filmRef)14255	1
(filmRef)14256	1
(filmRef)14269	1
(filmRef)14271	1
(filmRef)14272	1
(filmRef)14273	1
(filmRef)14589	1
(filmRef)14274	1
(filmRef)14280	1
(filmRef)14300	1
(filmRef)14301	1
