film_ref	tfidf_cluster
(filmRef)10150	3
(filmRef)10151	14
(filmRef)10152	3
(filmRef)10153	13
(filmRef)10154	3
(filmRef)10155	3
(filmRef)10156	3
(filmRef)10157	14
(filmRef)10165	14
(filmRef)10166	14
(filmRef)10167	2
(filmRef)10168	14
(filmRef)10169	14
(filmRef)10170	11
(filmRef)10171	11
(filmRef)10175	11
(filmRef)10176	14
(filmRef)10179	11
(filmRef)10183	11
(filmRef)10185	13
(filmRef)10192	11
(filmRef)1020	11
(filmRef)10202	14
(filmRef)10206	11
(filmRef)10209	14
(filmRef)1021	11
(filmRef)10215	3
(filmRef)1022	11
(filmRef)10223	11
(filmRef)10226	11
(filmRef)10230	13
(filmRef)10232	11
(filmRef)10234	11
(filmRef)10236	11
(filmRef)10238	11
(filmRef)1024	14
(filmRef)10253	13
(filmRef)10254	3
(filmRef)10255	3
(filmRef)10256	3
(filmRef)1026	13
(filmRef)1027	11
(filmRef)1028	10
(filmRef)1029	11
(filmRef)1030	11
(filmRef)10304	2
(filmRef)10305	2
(filmRef)10306	1
(filmRef)10307	2
(filmRef)10308	14
(filmRef)10309	14
(filmRef)1031	11
(filmRef)10310	14
(filmRef)10311	13
(filmRef)10314	11
(filmRef)10316	14
(filmRef)10317	3
(filmRef)10329	14
(filmRef)1033	11
(filmRef)10330	14
(filmRef)10331	2
(filmRef)10332	2
(filmRef)10333	13
(filmRef)10335	14
(filmRef)10336	18
(filmRef)10337	3
(filmRef)10338	3
(filmRef)10339	3
(filmRef)10340	3
(filmRef)10341	2
(filmRef)1036	13
(filmRef)1037	13
(filmRef)1038	13
(filmRef)10386	11
(filmRef)10389	11
(filmRef)1039	13
(filmRef)10390	11
(filmRef)10392	11
(filmRef)10394	11
(filmRef)10395	11
(filmRef)10396	11
(filmRef)10398	11
(filmRef)1040	11
(filmRef)10400	11
(filmRef)10407	3
(filmRef)10419	2
(filmRef)10421	2
(filmRef)10432	14
(filmRef)10434	13
(filmRef)1044	11
(filmRef)10444	3
(filmRef)10445	6
(filmRef)10446	3
(filmRef)10447	11
(filmRef)10448	3
(filmRef)10449	3
(filmRef)10450	11
(filmRef)10451	11
(filmRef)10452	2
(filmRef)10453	19
(filmRef)10454	14
(filmRef)10455	3
(filmRef)10456	14
(filmRef)10457	3
(filmRef)10458	2
(filmRef)10459	11
(filmRef)10460	14
(filmRef)10461	3
(filmRef)10462	14
(filmRef)10463	14
(filmRef)10464	3
(filmRef)10465	14
(filmRef)10466	14
(filmRef)10467	14
(filmRef)10468	14
(filmRef)10469	14
(filmRef)10470	3
(filmRef)10471	14
(filmRef)10472	14
(filmRef)10473	11
(filmRef)10474	3
(filmRef)10475	14
(filmRef)10476	14
(filmRef)1048	14
(filmRef)1049	14
(filmRef)1050	14
(filmRef)1053	13
(filmRef)1055	11
(filmRef)1057	14
(filmRef)1058	11
(filmRef)1059	10
(filmRef)1060	2
(filmRef)1061	2
(filmRef)10619	10
(filmRef)1062	13
(filmRef)10620	10
(filmRef)10621	10
(filmRef)10622	4
(filmRef)10623	4
(filmRef)10624	4
(filmRef)10625	4
