film_ref	title	tfidf_cluster	tc_pattern	has_shotlist	has_timecodes	has_grampian_tc	has_standard_tc	desc_word_count
(filmRef)22937	[WINCHESTER CITY COUNCIL]	16.0	C_shotlist_no_tc	True	False	False	False	89
(filmRef)22938	[WISEMAN, M. & CO. LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	54
(filmRef)22939	[WISEMAN, M. & CO. LTD (2)]		C_shotlist_no_tc	True	False	False	False	41
(filmRef)2294	(TAYPORT EVENTS 1946 - 1949)	6.0	A_standard_shotlist_tc	True	True	False	True	225
(filmRef)22940	[WISEMAN, M. & CO. LTD (3)]		C_shotlist_no_tc	True	False	False	False	43
(filmRef)22941	[WISEMAN, M. & CO. LTD (4)]		C_shotlist_no_tc	True	False	False	False	41
(filmRef)22942	[WISEMAN, M. & CO. LTD (5)]	16.0	C_shotlist_no_tc	True	False	False	False	62
(filmRef)22943	[WISEMAN, M. & CO. LTD]		C_shotlist_no_tc	True	False	False	False	33
(filmRef)22944	[WOLVERCOTE PAPERMILL]	16.0	C_shotlist_no_tc	True	False	False	False	63
(filmRef)22945	[WOODLANDS MILK FOODS]	16.0	C_shotlist_no_tc	True	False	False	False	131
(filmRef)22946	[WOOLNOUGH, T. C. (THRAPSTON BOOKBINDING CO LTD)]	16.0	C_shotlist_no_tc	True	False	False	False	62
(filmRef)22947	[WOOLNOUGH, T. C. (THRAPSTON BOOKBINDING CO LTD) (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	96
(filmRef)22948	[WORMALDS & WALKER LTD. (1)]		C_shotlist_no_tc	True	False	False	False	49
(filmRef)22949	[WORMALDS & WALKER LTD.(2)]		C_shotlist_no_tc	True	False	False	False	49
(filmRef)2295	RED LETTER DAY FOR TAYPORT, a	6.0	A_standard_shotlist_tc	True	True	False	True	145
(filmRef)22950	[WORMALDS & WALKER LTD. (3)]	16.0	C_shotlist_no_tc	True	False	False	False	82
(filmRef)22951	[WORMALDS & WALKER LTD. (4)]		C_shotlist_no_tc	True	False	False	False	35
(filmRef)22952	[WORMALDS & WALKER LTD. (5)]		C_shotlist_no_tc	True	False	False	False	32
(filmRef)22953	[WORMALDS & WALKER LTD.6)]	16.0	C_shotlist_no_tc	True	False	False	False	80
(filmRef)22954	[WORMALDS & WALKER LTD.(7)]	16.0	C_shotlist_no_tc	True	False	False	False	42
(filmRef)22955	[YARDLEY & CO LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	119
(filmRef)22956	[YARDLEY & CO LTD (5)]	16.0	C_shotlist_no_tc	True	False	False	False	52
(filmRef)22957	[YARDLEY & CO LTD (6)]	16.0	C_shotlist_no_tc	True	False	False	False	57
(filmRef)22958	[YATES, WILLIAM]	16.0	C_shotlist_no_tc	True	False	False	False	37
(filmRef)22959	BONDOR (1)		C_shotlist_no_tc	True	False	False	False	79
(filmRef)2296	INDUSTRIES OF TAYPORT, the	13.0	A_standard_shotlist_tc	True	True	False	True	186
(filmRef)22960	BONDOR (6)		C_shotlist_no_tc	True	False	False	False	82
(filmRef)22961	BONDOR (7)		C_shotlist_no_tc	True	False	False	False	70
(filmRef)22962	BONDOR (8)	16.0	C_shotlist_no_tc	True	False	False	False	38
(filmRef)22963	BONDOR (13)		C_shotlist_no_tc	True	False	False	False	55
(filmRef)22964	[KAYSER BONDOR]	16.0	C_shotlist_no_tc	True	False	False	False	49
(filmRef)22965	BRITTAINS LTD (1)	16.0	C_shotlist_no_tc	True	False	False	False	101
(filmRef)22966	BRITTAINS LTD (2)	16.0	C_shotlist_no_tc	True	False	False	False	88
(filmRef)22967	BRITTAINS LTD (3)	16.0	C_shotlist_no_tc	True	False	False	False	103
(filmRef)22968	BRITTAINS LTD (4)	16.0	C_shotlist_no_tc	True	False	False	False	75
(filmRef)22969	BRITTAINS LTD (5)	16.0	C_shotlist_no_tc	True	False	False	False	52
(filmRef)2297	TAYPORT AND ITS INDUSTRIES	13.0	A_standard_shotlist_tc	True	True	False	True	149
(filmRef)22970	BRITTAINS LTD (NEGATIVE)	16.0	C_shotlist_no_tc	True	False	False	False	141
(filmRef)22971	[DOUBLE IMAGE FILM (1)]	16.0	C_shotlist_no_tc	True	False	False	False	100
(filmRef)22972	[DOUBLE IMAGE FILM (2)]	16.0	C_shotlist_no_tc	True	False	False	False	64
(filmRef)22973	[DOUBLE IMAGE FILM (3)]	16.0	C_shotlist_no_tc	True	False	False	False	202
(filmRef)22974	[DOUBLE IMAGE FILM (4)]	16.0	C_shotlist_no_tc	True	False	False	False	62
(filmRef)22975	[MILFORD CLOTHING CO LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	114
(filmRef)22976	[MOBIL OIL CO LTD]	16.0	C_shotlist_no_tc	True	False	False	False	32
(filmRef)22977	[MUFF MAKING (1)]	16.0	C_shotlist_no_tc	True	False	False	False	64
(filmRef)22978	[MUFF MAKING (3)]	16.0	C_shotlist_no_tc	True	False	False	False	48
(filmRef)22979	[MUFF MAKING (4)]	16.0	C_shotlist_no_tc	True	False	False	False	41
(filmRef)2298	INDUSTRIES OF TAYPORT, the	13.0	A_standard_shotlist_tc	True	True	False	True	87
(filmRef)22980	[MUFF MAKING (6)]	16.0	C_shotlist_no_tc	True	False	False	False	47
(filmRef)22981	[MUFF MAKING (7)]	16.0	C_shotlist_no_tc	True	False	False	False	73
(filmRef)22982	[MUFF MAKING (8)]	16.0	C_shotlist_no_tc	True	False	False	False	54
(filmRef)22983	[MUFF MAKING (9)]	16.0	C_shotlist_no_tc	True	False	False	False	114
(filmRef)22984	[STANDARD LAUNDRY (BELFAST)]	16.0	C_shotlist_no_tc	True	False	False	False	73
(filmRef)22985	[SUN LAUNDRY LTD]	16.0	C_shotlist_no_tc	True	False	False	False	86
(filmRef)22986	[SUN LAUNDRY LTD (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	50
(filmRef)22987	[TOY CAR (1)]		C_shotlist_no_tc	True	False	False	False	91
(filmRef)22988	[TOY CAR (2)]		C_shotlist_no_tc	True	False	False	False	73
(filmRef)22989	[TOY CAR (3)]		C_shotlist_no_tc	True	False	False	False	85
(filmRef)2299	TAYPORT TOWN HALL OPENING	19.0	A_standard_shotlist_tc	True	True	False	True	126
(filmRef)22990	BRISTOL EVENING POST (1)	16.0	C_shotlist_no_tc	True	False	False	False	134
(filmRef)22991	[MCGOWAN A. & CO. LTD]	16.0	C_shotlist_no_tc	True	False	False	False	31
(filmRef)22992	[POLLARD, WALTER (1923) LTD (1)]	16.0	C_shotlist_no_tc	True	False	False	False	64
(filmRef)22993	[POLLARD, WALTER (1923) LTD (2)]	16.0	C_shotlist_no_tc	True	False	False	False	66
(filmRef)22994	[POLLARD, WALTER (1923) LTD (NEGATIVE)]	16.0	C_shotlist_no_tc	True	False	False	False	118
(filmRef)2300	"""MERRIE ENGLAND"""	14.0	A_standard_shotlist_tc	True	True	False	True	140
(filmRef)2301	TAYPORT PICNICS 1951 / '52	3.0	A_standard_shotlist_tc	True	True	False	True	150
(filmRef)2302	OPENING NEW COUNCIL CHAMBERS, TAYPORT	14.0	A_standard_shotlist_tc	True	True	False	True	145
(filmRef)2303	(CHURCH HUT, TAYPORT)	14.0	A_standard_shotlist_tc	True	True	False	True	349
(filmRef)2304	CORONATION YEAR 1953	19.0	A_standard_shotlist_tc	True	True	False	True	308
(filmRef)2305	"""QUAKER GIRL, the"""		A_standard_shotlist_tc	True	True	False	True	81
(filmRef)2306	"""COUNTRY GIRL, a"""		A_standard_shotlist_tc	True	True	False	True	57
(filmRef)2307	IN SEARCH OF TAYPORT	14.0	A_standard_shotlist_tc	True	True	False	True	245
(filmRef)2308	[GALLIPOLI]	2.0	A_standard_shotlist_tc	True	True	False	True	271
(filmRef)2309	STEALING AWAY TO STORNOWAY	2.0	A_standard_shotlist_tc	True	True	False	True	548
(filmRef)2310	PRETTY DART, a	14.0	A_standard_shotlist_tc	True	True	False	True	100
(filmRef)2311	PATHE NEW No 65/76, HEATH VISITS THE WEAVERS	11.0	A_standard_shotlist_tc	True	True	False	True	64
(filmRef)2312	SEALING WAX AND WAFERS	13.0	A_standard_shotlist_tc	True	True	False	True	277
(filmRef)2313	BRIGHT FUTURE	10.0	A_standard_shotlist_tc	True	True	False	True	337
(filmRef)2314	QUEEN IN OBAN, the	6.0	A_standard_shotlist_tc	True	True	False	True	129
(filmRef)2315	[MELROSE FESTIVALS 1956 - 1961]	3.0	A_standard_shotlist_tc	True	True	False	True	627
(filmRef)2317	GLASGOW AIRPORT	10.0	A_standard_shotlist_tc	True	True	False	True	468
(filmRef)2318	LIFE IN THE SCOTTISH HIGHLANDS - POPULATION AND SOCIAL PROBLEMS	10.0	A_standard_shotlist_tc	True	True	False	True	219
(filmRef)2319	BATTLE OF THE STYLES; A Study of Nineteenth Century Architecture	10.0	A_standard_shotlist_tc	True	True	False	True	452
(filmRef)2320	ABERDEEN	10.0	A_standard_shotlist_tc	True	True	False	True	534
(filmRef)2321	THOMAS TELFORD	10.0	A_standard_shotlist_tc	True	True	False	True	435
(filmRef)2322	[HALFWAY TO PARADISE: D.C. THOMSON]	11.0	A_standard_shotlist_tc	True	True	False	True	110
(filmRef)2323	[HALFWAY TO PARADISE: GRANT MORRISON]	11.0	A_standard_shotlist_tc	True	True	False	True	106
