film_ref	title	year	genre_tag	genre_tag_raw	desc_word_count	n_desc_fields	has_shotlist	has_reels	has_credit_line	credit_text	n_subjects	has_timecodes	timecode_count	n_creators
(filmRef)T1144	[BOAT RACE ON THE CLYDE]	1975.0	non-fiction	non-fiction	31	4	True	False	False		0	True	1	0
(filmRef)T1145	[REPORT ON HAGGIS PRODUCTION]	1973.0	non-fiction; television news	non-fiction; television news	58	4	True	False	False		2	True	3	0
(filmRef)T1146	[WATER SHORTAGE IN EDINBURGH & DISTRICT]	1977.0	non-fiction	non-fiction	36	4	True	False	False		0	True	4	0
(filmRef)T1147	[REPORT ON UCS]	1973.0	non-fiction	non-fiction	96	4	True	False	False		0	True	4	0
(filmRef)T1148	"[ARMY OPERATION ""LONG HOP"", BUDDON NESS]"	1960.0	non-fiction	non-fiction	53	4	True	False	False		0	True	3	0
(filmRef)T1149	[CLIMBING IN THE CUILLINS]		non-fiction	non-fiction	19	4	True	False	False		0	True	1	0
(filmRef)T1150	[ERSKINE FERRY]	1962.0	non-fiction	non-fiction	62	4	True	False	False		1	True	4	0
(filmRef)T1151	[START OF HERRING FISHING SEASON]	1959.0	non-fiction	non-fiction	33	4	True	False	False		0	True	3	0
(filmRef)T1152	[FIRST SAILING OF 'THE MAID OF THE LOCH' & HOLIDAY TRAFFIC AT AYR]	1965.0	non-fiction	non-fiction	81	4	True	False	True	leader	0	True	5	0
(filmRef)T1153	[H.M.S. INTREPID AT JOHN BROWN'S SHIPYARD]	1967.0	non-fiction	non-fiction	49	4	True	False	False		0	True	3	0
(filmRef)T1154	[INTERVIEWS WITH NURSES]	1975.0	non-fiction	non-fiction	57	4	True	False	False		0	True	2	0
(filmRef)T1155	[INTERVIEW ON NON RE-ACTIVE STEEL]	1972.0	non-fiction	non-fiction	50	4	True	False	False		0	True	2	0
(filmRef)T1156	[JIMMY REID IV IN CENTRAL STATION]	1972.0	non-fiction	non-fiction	35	4	True	False	False		0	True	2	0
(filmRef)T1157	[VAMPIRE JET BEING SOLD]	1971.0	non-fiction	non-fiction	59	4	True	False	False		0	True	2	0
(filmRef)T1158	[FREE BUS SERVICE IN EDINBURGH]	1973.0	non-fiction	non-fiction	42	4	True	False	False		0	True	1	0
(filmRef)T1159	[PROPOSAL TO PEDESTRIANISE BUCHANAN STREET]	1972.0	non-fiction	non-fiction	33	4	True	False	False		0	True	2	0
(filmRef)T1160	[WOMEN DEMONSTRATING AT CROY OVER QUARRY]	1973.0	non-fiction	non-fiction	23	4	True	False	False		0	True	2	0
(filmRef)T1161	[QUEEN & DUKE OF EDINBURGH - COMMAND PERFORMANCE, ALHAMBRA THEATRE]	1963.0	non-fiction	non-fiction	78	4	True	False	False		0	True	4	0
(filmRef)T1162	[CO-OWNERSHIP HOUSING IN EDINBURGH]	1972.0	non-fiction	non-fiction	40	4	True	False	False		0	True	2	0
(filmRef)T1163	[INTERVIEW WITH CHRIS CHATAWAY AT SCOTT LITHGOW'S]	1973.0	non-fiction	non-fiction	30	4	True	False	False		0	True	3	0
(filmRef)T1164	[LIBRARY SHOTS OF NEWHAVEN & GRANTON HARBOURS]	1975.0	non-fiction	non-fiction	33	4	True	False	False		0	True	1	0
(filmRef)T1165	[REPORT ON CHRISTMAS TREE LIGHTS]	1971.0	non-fiction	non-fiction	103	4	True	False	True	Shotlisted at 24 fps	0	True	5	0
(filmRef)T1166	[INTERVIEW ON SHELTER ORGANISATION]	1972.0	non-fiction	non-fiction	62	4	True	False	True	Shotlisted at 24 fps	0	True	2	0
(filmRef)T1167	[MINERS STRIKE PICKETS]	1974.0	non-fiction	non-fiction	55	4	True	False	True	Shotlisted at 24 fps	0	True	6	0
(filmRef)T1168	[INTERVIEW WITH MARQUIS OF BUTE ON ENVIRONMENT]	1974.0	non-fiction	non-fiction	41	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1169	[INTERVIEW WITH PROFESSOR GALBRAITH ON CHINA]	1973.0	non-fiction	non-fiction	44	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1170	[REPORT ON THE SITING OF EDINBURGH'S FRUIT MARKET]	1972.0	non-fiction	non-fiction	81	4	True	False	True	Shotlisted at 24 fps	0	True	5	0
(filmRef)T1171	[CAMBUSLANG RANGERS ON EVE OF CUP FINAL]	1973.0	non-fiction	non-fiction	81	4	True	False	False		0	True	5	0
(filmRef)T1172	[INTERVIEW WITH ROBIN MCLELLAN. TOURIST BOARD]	1974.0	non-fiction	non-fiction	82	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1173	[MORE FLOODS-PERTH]	1974.0	non-fiction	non-fiction	59	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1174	[GRANTON-CASKET DUG UP AFTER BEING BURIED OCT. 11TH 1899 AT GRANTON GAS WORKS]	1971.0	non-fiction	non-fiction	82	4	True	False	True	Shotlisted at 24fps	0	True	6	0
(filmRef)T1175	[REPORT ON BACHELORS CLUB, EDINBURGH]	1971.0	non-fiction	non-fiction	56	4	True	False	True	Shotlisted at 24fps	0	True	1	0
(filmRef)T1176	[ALL BLACKS RUGBY TEAM TRAIN AT PEEBLES]	1970.0	non-fiction	non-fiction	55	4	True	False	True	Shotlisted at 24fps	0	True	4	0
(filmRef)T1177	[REPORT ON EXTRA CLASSES FOR RAISING SCHOOL LEAVING AGE]	1972.0	non-fiction	non-fiction	97	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1178	[MILK CYCLE RACE. GEORGE SQUARE GLASGOW]	1972.0	non-fiction	non-fiction	51	4	True	False	True	Shotlisted at 24fps	0	True	2	0
(filmRef)T1179	[CIVIC RECEPTION AT GLASGOW CITY CHAMBERS FOR PARTICK THISTLE FC.]	1971.0	non-fiction	non-fiction	138	4	True	False	False		0	True	10	0
