film_ref	has_source_tag	source_name	desc_word_count	has_shotlist	is_broadcaster_summary
(filmRef)0431	False		731	True	False
(filmRef)0432	False		177	True	False
(filmRef)0433	False		204	True	False
(filmRef)0434	False		144	True	False
(filmRef)0435	False		116	True	False
(filmRef)0436	False		498	True	False
(filmRef)0437	False		84	True	False
(filmRef)0438	False		851	True	False
(filmRef)0439	False		78	True	False
(filmRef)0440	False		114	True	False
(filmRef)0441	False		506	True	False
(filmRef)0442	False		156	True	False
(filmRef)0443	False		126	True	False
(filmRef)0444	False		131	True	False
(filmRef)0445	False		283	True	False
(filmRef)0446	False		129	True	False
(filmRef)0448	False		72	True	False
(filmRef)0449	False		69	True	False
(filmRef)0450	False		179	True	False
(filmRef)0451	False		212	True	False
(filmRef)0453	False		57	True	False
(filmRef)0454A	False		132	True	False
(filmRef)0454B	False		108	True	False
(filmRef)0455	False		236	True	False
(filmRef)0456	False		209	True	False
(filmRef)0457	False		240	True	False
(filmRef)0458	False		69	True	False
(filmRef)0459	False		323	True	False
(filmRef)0460	False		205	True	False
(filmRef)0462	False		220	True	False
(filmRef)0463	False		177	True	False
(filmRef)0464	False		110	True	False
(filmRef)0465	False		71	True	False
(filmRef)0466	False		53	True	False
(filmRef)0467	False		177	True	False
(filmRef)0468	False		156	True	False
(filmRef)0469	False		166	True	False
(filmRef)0470	False		270	True	False
(filmRef)0471	False		302	True	False
(filmRef)0473	False		745	True	False
(filmRef)0474	False		172	True	False
(filmRef)0476	False		220	True	False
(filmRef)0477	False		130	True	False
(filmRef)0478	False		157	True	False
(filmRef)0479	False		320	True	False
(filmRef)0480	False		230	True	False
(filmRef)0481	False		395	True	False
(filmRef)0482	False		216	True	False
(filmRef)0483	False		322	True	False
(filmRef)0484	False		176	True	False
(filmRef)0486	False		412	True	False
(filmRef)0487	False		221	True	False
(filmRef)0490	False		186	True	False
(filmRef)0491	False		60	True	False
(filmRef)0492	False		177	True	False
(filmRef)0493	False		175	True	False
(filmRef)0494	False		317	True	False
(filmRef)0495	False		258	True	False
(filmRef)0496	False		215	True	False
(filmRef)0497	False		140	True	False
(filmRef)0498	False		228	True	False
(filmRef)0499	False		203	True	False
(filmRef)0500	False		131	True	False
(filmRef)0501	False		173	True	False
(filmRef)0502	False		147	True	False
(filmRef)0503	False		37	True	False
(filmRef)0504	False		279	True	False
(filmRef)0505	False		435	True	False
(filmRef)0506	False		198	True	False
(filmRef)0507	False		282	True	False
(filmRef)0508	False		243	True	False
(filmRef)0509	False		205	True	False
(filmRef)0510	False		113	True	False
(filmRef)0511	False		274	True	False
(filmRef)0512	False		715	True	False
(filmRef)0513	False		69	True	False
(filmRef)0514	False		90	True	False
(filmRef)0515A	False		28	True	False
(filmRef)0515B	False		39	True	False
(filmRef)0515C	False		33	True	False
(filmRef)0516	False		367	True	False
(filmRef)0517A	False		272	True	False
(filmRef)0517B	False		51	True	False
(filmRef)0518	False		79	True	False
(filmRef)0519	False		60	True	False
(filmRef)0520	False		144	True	False
(filmRef)0521	False		202	True	False
(filmRef)0522	False		123	True	False
(filmRef)0523	False		154	True	False
(filmRef)0524	False		55	True	False
(filmRef)0525	False		193	True	False
(filmRef)0526	False		398	True	False
(filmRef)0527	False		219	True	False
(filmRef)0528	False		264	True	False
(filmRef)0529A	False		83	True	False
(filmRef)0529B	False		98	True	False
(filmRef)0529C	False		53	True	False
(filmRef)0529D	False		63	True	False
(filmRef)0530	False		1699	True	False
(filmRef)0531	False		492	True	False
(filmRef)0532	False		111	True	False
(filmRef)0533	False		71	True	False
(filmRef)0534	False		186	True	False
(filmRef)0535	False		326	True	False
(filmRef)0536	False		129	True	False
(filmRef)0537	False		71	True	False
(filmRef)0538	False		98	True	False
(filmRef)0539A	False		128	True	False
(filmRef)0539B	False		57	True	False
(filmRef)0541	False		110	True	False
(filmRef)0543	False		63	True	False
(filmRef)0544	False		305	True	False
(filmRef)0545	False		362	True	False
(filmRef)0546	False		110	True	False
(filmRef)0547	False		102	True	False
(filmRef)0548	False		96	True	False
(filmRef)0549	False		129	True	False
(filmRef)0550	False		142	True	False
(filmRef)0551	False		85	True	False
(filmRef)0552	False		170	True	False
(filmRef)0553	False		106	True	False
(filmRef)0554	False		329	True	False
(filmRef)0555	False		193	True	False
(filmRef)0556	False		155	True	False
(filmRef)0558	False		142	True	False
(filmRef)0560	False		503	True	False
(filmRef)0561A	False		36	True	False
(filmRef)0561B	False		58	True	False
(filmRef)0561C	False		129	True	False
(filmRef)0561D	False		249	True	False
(filmRef)0561E	False		100	True	False
(filmRef)0561F	False		74	True	False
(filmRef)0562	False		89	True	False
(filmRef)0563	False		137	True	False
(filmRef)0564	False		58	True	False
(filmRef)0565	False		106	True	False
(filmRef)0566	False		75	True	False
(filmRef)0567	False		74	True	False
(filmRef)0568	False		114	True	False
(filmRef)0569	False		41	True	False
(filmRef)0570	False		235	True	False
(filmRef)0571	False		342	True	False
(filmRef)0572	False		261	True	False
(filmRef)0573	False		361	True	False
(filmRef)0574	False		116	True	False
(filmRef)0575	False		41	True	False
(filmRef)0576	False		123	True	False
(filmRef)0577	False		102	True	False
(filmRef)0578	False		286	True	False
(filmRef)0579	False		359	True	False
(filmRef)0580	False		627	True	False
(filmRef)0581	False		253	True	False
(filmRef)0584	False		244	True	False
(filmRef)0585	False		153	True	False
(filmRef)0586	False		495	True	False
(filmRef)0587	False		362	True	False
(filmRef)0588	False		266	True	False
(filmRef)0589	False		208	True	False
(filmRef)0590	False		58	True	False
(filmRef)0591	False		627	True	False
(filmRef)0592	False		133	True	False
(filmRef)0593	False		97	True	False
(filmRef)0594	False		128	True	False
(filmRef)0595	False		117	True	False
(filmRef)0596	False		158	True	False
(filmRef)0597A	False		100	True	False
(filmRef)0597B	False		97	True	False
(filmRef)0598	False		170	True	False
(filmRef)0600	False		130	True	False
(filmRef)0601	False		77	True	False
(filmRef)0603	False		60	True	False
(filmRef)0604	False		108	True	False
(filmRef)0605	False		244	True	False
(filmRef)0606	False		252	True	False
(filmRef)0607	False		329	True	False
(filmRef)0608	False		308	True	False
(filmRef)0609	False		170	True	False
(filmRef)0610	False		217	True	False
(filmRef)0611	False		96	True	False
(filmRef)0612	False		209	True	False
(filmRef)0613	False		142	True	False
(filmRef)0614	False		144	True	False
(filmRef)0615	False		126	True	False
(filmRef)0616	False		193	True	False
(filmRef)0617	False		187	True	False
(filmRef)0618	False		181	True	False
(filmRef)0619	False		422	True	False
(filmRef)0620	False		287	True	False
(filmRef)0621	False		254	True	False
(filmRef)0622	False		337	True	False
(filmRef)0623	False		519	True	False
(filmRef)0624	False		425	True	False
(filmRef)0625	False		107	True	False
(filmRef)0626	False		174	True	False
(filmRef)0627	False		201	True	False
(filmRef)0628	False		193	True	False
(filmRef)0629	False		92	True	False
(filmRef)0630	False		297	True	False
(filmRef)0631	False		510	True	False
(filmRef)0632	False		432	True	False
(filmRef)0633	False		267	True	False
(filmRef)0634	False		187	True	False
(filmRef)0635	False		161	True	False
(filmRef)0636	False		280	True	False
(filmRef)0637	False		285	True	False
(filmRef)0638	False		315	True	False
(filmRef)0639A	False		103	True	False
(filmRef)0639B	False		206	True	False
(filmRef)0640	False		74	True	False
(filmRef)0641	False		515	True	False
(filmRef)0642	False		79	True	False
(filmRef)0643	False		43	True	False
(filmRef)0644	False		82	True	False
(filmRef)0645	False		447	True	False
(filmRef)0646A	False		183	True	False
(filmRef)0646B	False		231	True	False
(filmRef)0647	False		133	True	False
(filmRef)0648	False		210	True	False
(filmRef)0650	False		72	True	False
(filmRef)0651	False		82	True	False
(filmRef)0652	False		207	True	False
(filmRef)0653A	False		219	True	False
(filmRef)0653B	False		115	True	False
(filmRef)0653C	False		258	True	False
(filmRef)0654A	False		99	True	False
(filmRef)0654B	False		66	True	False
(filmRef)0655	False		38	True	False
(filmRef)0656	False		64	True	False
(filmRef)0657	False		40	True	False
(filmRef)0658	False		30	True	False
(filmRef)0659	False		52	True	False
(filmRef)0660	False		54	True	False
(filmRef)0661	False		323	True	False
(filmRef)0662	False		270	True	False
(filmRef)0663	False		491	True	False
(filmRef)0665	False		183	True	False
(filmRef)0666	False		259	True	False
(filmRef)0667	False		36	True	False
(filmRef)0668	False		90	True	False
(filmRef)0669	False		98	True	False
(filmRef)0670	False		100	True	False
(filmRef)0672	False		522	True	False
(filmRef)0673	False		361	True	False
(filmRef)0674	False		58	True	False
(filmRef)0675	False		31	True	False
(filmRef)0676	False		21	True	False
(filmRef)0677	False		41	True	False
(filmRef)0678	False		35	True	False
(filmRef)0679	False		51	True	False
(filmRef)0680	False		29	True	False
(filmRef)0681	False		25	True	False
(filmRef)0682	False		23	True	False
(filmRef)0683	False		63	True	False
(filmRef)0684	False		28	True	False
(filmRef)0685	False		27	True	False
(filmRef)0686	False		39	True	False
(filmRef)0687	False		100	True	False
(filmRef)0688	False		56	True	False
(filmRef)0689	False		26	True	False
(filmRef)0690	False		654	True	False
(filmRef)0692	False		345	True	False
(filmRef)0693	False		443	True	False
(filmRef)0694	False		438	True	False
(filmRef)0695	False		282	True	False
(filmRef)0697	False		302	True	False
(filmRef)0698	False		168	True	False
(filmRef)0699	False		110	True	False
(filmRef)0701	False		38	True	False
(filmRef)0702	False		176	True	False
(filmRef)0703	False		215	True	False
(filmRef)0704	False		435	True	False
(filmRef)0705	False		383	True	False
(filmRef)0707	False		97	True	False
(filmRef)0711	False		39	True	False
(filmRef)0712	False		166	True	False
(filmRef)0713	False		215	True	False
(filmRef)0715	False		24	True	False
(filmRef)0717	False		62	True	False
(filmRef)0718	False		31	True	False
(filmRef)0719	False		111	True	False
(filmRef)0720	False		215	True	False
(filmRef)0722	False		498	True	False
(filmRef)0723	False		138	True	False
(filmRef)0724	False		131	True	False
(filmRef)0727	False		144	True	False
(filmRef)0728	False		101	True	False
(filmRef)0735	False		78	True	False
(filmRef)0736	False		64	True	False
(filmRef)0737	False		37	True	False
(filmRef)0738	False		277	True	False
(filmRef)0739	False		359	True	False
(filmRef)0742	False		199	True	False
(filmRef)0744	False		152	True	False
(filmRef)0745	False		152	True	False
(filmRef)0746	False		278	True	False
(filmRef)0747	False		218	True	False
(filmRef)0748	False		223	True	False
(filmRef)0749	False		522	True	False
(filmRef)0750	False		476	True	False
(filmRef)0751	False		444	True	False
(filmRef)0752	False		394	True	False
(filmRef)0753	False		86	True	False
(filmRef)0754	False		170	True	False
(filmRef)0755	False		248	True	False
(filmRef)0756	False		537	True	False
(filmRef)0757	False		124	True	False
(filmRef)0758	False		323	True	False
(filmRef)0759	False		75	True	False
(filmRef)0760	False		216	True	False
(filmRef)0761	False		164	True	False
(filmRef)0762A	False		191	True	False
